,University,Location,Rank
0,University of Texas--San Antonio (Department of Management Science and Statistics),"San Antonio, TX",97
1,University of North Carolina--Charlotte (Department of Mathematics and Statistics),"Charlotte, NC",97
2,Virginia Commonwealth University (Department of Biostatistics),"Richmond, VA",93
3,University of Cincinnati (Division of Epidemiology & Biostatistics),"Cincinnati, OH",93
4,University at Albany--SUNY (Department of Epidemiology & Biostatistics),"Rensselaer, NY",93
5,San Diego State University (Department of Mathematics and Statistics),"San Diego, CA",93
6,Virginia Commonwealth University (Department of Statistics),"Richmond, VA",89
7,University of Kentucky (Department of Statistics),"Lexington, KY",89
8,University of Kansas Medical Center (Department of Biostatistics),"Kansas City, KS",89
9,University of Alabama--Birmingham (Department of Biostatistics),"Birmingham, AL",89
10,University of South Carolina (Epidemiology and Biostatistics),"Columbia, SC",83
11,University of Colorado--Denver (Department of Mathematical and Statistical Sciences),"Denver, CO",83
12,University at Buffalo--SUNY (Department of Biostatistics),"Buffalo, NY",83
13,Kansas State University (Department of Statistics),"Manhattan, KS",83
14,George Mason University (Department of Statistics),"Fairfax, VA",83
15,Baylor University (Department of Statistical Science),"Waco, TX",83
16,University of Massachusetts--Amherst (Division of Biostatistics and Epidemiology),"Amherst, MA",79
17,Temple University (Department of Statistics),"Philadelphia, PA",79
18,Case Western Reserve University (Department of Statistics),"Cleveland, OH",79
19,Arizona State University (School of Mathematical & Statistical Sciences),"Tempe, AZ",79
20,University of South Carolina (Department of Statistics),"Columbia, SC",74
21,University of Massachusetts--Amherst (Department of Mathematics and Statistics),"Amherst, MA",74
22,University of Colorado--Denver (Department of Biostatistics and Informatics),"Aurora, CO",74
23,University of California--Riverside (Department of Statistics),"Riverside, CA",74
24,Oregon State University (Department of Statistics),"Corvallis, OR",74
25,University of Virginia (Department of Statistics),"Charlottesville, VA",69
26,University of Maryland--Baltimore County (Department of Mathematics and Statistics),"Baltimore, MD",69
27,Southern Methodist University (Department of Statistical Science),"Dallas, TX",69
28,Indiana University--Bloomington (Department of Statistics),"Bloomington, IN",69
29,Case Western Reserve University (Department of Epidemiology and Biostatistics),"Cleveland, OH",69
30,University of Illinois--Chicago (Epidemiology and Biostatistics Division),"Chicago, IL",67
31,University of California--Santa Barbara (Department of Statistics and Applied Probability),"Santa Barbara, CA",67
32,Virginia Tech (Department of Statistics),"Blacksburg, VA",61
33,University of Missouri--Columbia (Department of Statistics),"Columbia, MO",61
34,University of Georgia (Department of Statistics),"Athens, GA",61
35,"New York University (Department of Information, Operations, and Management Sciences)","New York, NY",61
36,Medical College of Wisconsin (Division of Biostatistics),"Milwaukee, WI",61
37,George Washington University (Department of Statistics),"Washington, DC",61
38,University of Texas Health Science Center--Houston (University of Texas MD Anderson Cancer Center UTHealth),"Houston, TX",55
39,University of Rochester (Department of Biostatistics and Computational Biology),"Rochester, NY",55
40,University of Pittsburgh (Department of Statistics),"Pittsburgh, PA",55
41,University of Iowa (Department of Biostatistics),"Iowa City, IA",55
42,University of Florida (Department of Biostatistics),"Gainesville, FL",55
43,Northwestern University (Department of Statistics),"Evanston, IL",55
44,University of Texas--Austin (Department of Statistics and Data Science),"Austin, TX",50
45,University of Pittsburgh (Department of Biostatistics),"Pittsburgh, PA",50
46,University of California--Irvine (Department of Statistics),"Irvine, CA",50
47,University of California--Davis (Graduate Group in Biostatistics),"Davis, CA",50
48,Michigan State University (Department of Statistics and Probability),"East Lansing, MI",50
49,Boston University (School of Public Health),"Boston, MA",50
50,Vanderbilt University (Department of Biostatistics),"Nashville, TN",44
51,University of Connecticut (Department of Statistics),"Storrs, CT",44
52,Florida State University (Department of Statistics),"Tallahassee, FL",44
53,Duke University (Department of Biostatistics and Bioinformatics),"Durham, NC",44
54,Colorado State University (Department of Statistics),"Fort Collins, CO",44
55,Brown University (Department of Biostatistics),"Providence, RI",44
56,Rice University (Department of Statistics),"Houston, TX",43
57,University of Iowa (Department of Statistics and Actuarial Science),"Iowa City, IA",40
58,University of Florida (Department of Statistics),"Gainesville, FL",40
59,Rutgers University--New Brunswick (Department of Statistics and Biostatistics),"Piscataway, NJ",40
60,University of Illinois--Urbana-Champaign (Department of Statistics),"Champaign, IL",37
61,Ohio State University (Department of Statistics),"Columbus, OH",37
62,Emory University (Department of Biostatistics and Bioinformatics),"Atlanta, GA",37
63,Yale University (Department of Statistics),"New Haven, CT",31
64,Yale University (Department of Biostatistics),"New Haven, CT",31
65,University of Pennsylvania (Department of Biostatistics & Epidemiology),"Philadelphia, PA",31
66,University of California--Los Angeles (Department of Statistics),"Los Angeles, CA",31
67,University of California--Davis (Department of Statistics),"Davis, CA",31
68,Johns Hopkins University (Department of Applied Mathematics and Statistics),"Baltimore, MD",31
69,University of Texas MD Anderson (Department of Biostatistics),"Houston, TX",27
70,University of California--Los Angeles (Department of Biostatistics),"Los Angeles, CA",27
71,Purdue University--West Lafayette (Department of Statistics),"West Lafayette, IN",27
72,Columbia University (Department of Biostatistics),"New York, NY",27
73,University of Wisconsin--Madison (School of Medicine and Public Health),"Madison, WI",24
74,University of Minnesota--Twin Cities (School of Statistics),"Minneapolis, MN",24
75,University of Minnesota--Twin Cities (School of Public Health),"Minneapolis, MN",24
76,Texas A&M University--College Station (Department of Statistics),"College Station, TX",20
77,Pennsylvania State University (Department of Statistics),"University Park, PA",20
78,Iowa State University (Department of Statistics),"Ames, IA",20
79,Cornell University (Department of Statistical Science),"Ithaca, NY",20
80,University of North Carolina--Chapel Hill (Department of Statistics & Operations Research),"Chapel Hill, NC",19
81,University of Wisconsin--Madison (Department of Statistics),"Madison, WI",16
82,North Carolina State University (Department of Statistics),"Raleigh, NC",16
83,Columbia University (Department of Statistics),"New York, NY",16
84,University of Pennsylvania (Department of Statistics),"Philadelphia, PA",12
85,University of Michigan--Ann Arbor (Department of Statistics),"Ann Arbor, MI",12
86,University of California--Berkeley (Group in Biostatistics),"Berkeley, CA",12
87,Duke University (Department of Statistical Science),"Durham, NC",12
88,University of Michigan--Ann Arbor (Department of Biostatistics),"Ann Arbor, MI",11
89,University of Washington (Department of Statistics),"Seattle, WA",8
90,University of North Carolina--Chapel Hill (Department of Biostatistics),"Chapel Hill, NC",8
91,Carnegie Mellon University (Department of Statistics),"Pittsburgh, PA",8
92,University of Chicago (Department of Statistics),"Chicago, IL",6
93,Harvard University (Department of Statistics),"Cambridge, MA",6
94,University of Washington (Department of Biostatistics),"Seattle, WA",3
95,Johns Hopkins University (Department of Biostatistics),"Baltimore, MD",3
96,Harvard University (Department of Biostatistics),"Boston, MA",3
97,University of California--Berkeley (Department of Statistics),"Berkeley, CA",2
98,Stanford University (Department of Statistics),"Stanford, CA",1
